property_price,property_property_type,property_bedrooms,property_bathrooms,property_size,property_is_furnished,property_location
"USD 340,000",Apartment,3,4,240,,"Ballouneh, Keserouan"
"USD 150,000",Apartment,3,3,142,Unfurnished,"Kfaryassine, Keserouan"
"USD 160,000",Apartment,3,2,180,Unfurnished,"Jeita, Keserouan"
"USD 365,000",Villa,4,6,600,,"Qornet El Hamra, Metn"
"USD 550,000",Apartment,3,4,280,,"Tallet el Khayat, Beirut"
"USD 117,000",Apartment,2,2,133,Unfurnished,"Qornet El Hamra, Metn"
"USD 385,000",Apartment,2,2,110,Unfurnished,"Ras Beirut, Beirut"
"USD 380,000",Apartment,3,3,190,,"Jamhour, Baabda"
"USD 210,000",Apartment,3,4,250,Fully Furnished,"Ballouneh, Keserouan"
"USD 299,900",Apartment,3,4,310,,"Baabdat, Metn"
"USD 155,000",Apartment,3,3,160,,"Ballouneh, Keserouan"
"USD 240,000",Apartment,3,3,160,Unfurnished,"Mansourieh, Metn"
"USD 250,000",Apartment,2,3,152,Fully Furnished,"Hazmiyeh, Baabda"
"USD 250,000",Apartment,2,2,107,Unfurnished,"Achrafieh, Beirut"
"USD 105,000",Apartment,3,2,120,Fully Furnished,"Halat, Jbeil"
"USD 2,800,000",Apartment,3,3,290,Fully Furnished,"Downtown, Beirut"
"USD 210,000",Apartment,2,2,94,Unfurnished,"Larnaca, Cyprus"
"USD 320,000",Apartment,2,3,120,Fully Furnished,"Achrafieh, Beirut"
"USD 380,000",Apartment,4,3,890,Unfurnished,"Aannaya, Jbeil"
"USD 200,000",Apartment,2,2,105,Unfurnished,"Larnaca, Cyprus"
"USD 230,000",Apartment,3,4,175,Unfurnished,"Cornet Chahwan, Metn"
"USD 450,000",Apartment,3,4,264,Unfurnished,"Baabdat, Metn"
"USD 129,000",Apartment,2,2,120,,"Dik El Mehdi, Metn"
"USD 135,000",Apartment,2,2,103,Unfurnished,"Batroun Town, Batroun"
"USD 185,000",Apartment,3,3,165,,"Beit El Chaar, Metn"
"USD 380,000",Apartment,3,4,210,Unfurnished,"Broummana, Metn"
"USD 5,000,000",Villa,7,7,"1,350",Fully Furnished,"Mechref, Chouf"
"USD 360,000",Apartment,2,2,175,Unfurnished,"Larnaca, Cyprus"
"USD 420,000",Apartment,3,4,220,Fully Furnished,"Mar Elias, Beirut"
"USD 900,000",Apartment,3,5,225,Unfurnished,"Jnah, Beirut"
"USD 115,000",Apartment,3,2,140,Unfurnished,"Zouk Mikael, Keserouan"
"USD 200,000",Apartment,2,2,100,Unfurnished,"Larnaca, Cyprus"
"USD 50,000",Apartment,3,4,190,Unfurnished,"Aachqout, Keserouan"
"USD 145,000",Apartment,1,1,64,Unfurnished,"Larnaca, Cyprus"
"USD 230,000",Apartment,3,3,165,Unfurnished,"Mar Roukoz, Metn"
"USD 320,000",Apartment,3,4,180,Fully Furnished,"Mar Elias, Beirut"
"USD 165,000",Apartment,1,1,60,Unfurnished,"Larnaca, Cyprus"
"USD 137,000",Apartment,3,3,170,Unfurnished,"Ainab, Aley"
